tconst	averageRating	numVotes
tt0000355	6.2	730
tt0000357	5.9	462
tt0000358	6.2	730
tt0000359	7.1	2986
tt0000361	7.6	26
tt0000363	6.3	158
tt0000364	5.6	170
tt0000368	6.8	22
tt0000370	5.6	535
tt0000373	6.4	91
tt0000376	6.1	20
tt0000377	6.2	125
tt0000379	3.9	12
tt0000380	6.9	27
tt0000381	3.6	26
tt0000384	5.8	291
tt0000387	5.1	391
tt0000388	5.2	130
tt0000399	6.1	761
tt0000400	5.9	17
tt0000406	5.8	45
tt0000407	3.6	39
tt0000409	5.1	241
tt0000410	6.7	1038
tt0000412	4.2	26
tt0000413	5.5	468
tt0000414	5.4	765
tt0000416	5.3	175
tt0000417	8.2	52133
tt0000420	6.2	2728
tt0000423	5.5	242
tt0000425	4.9	25
tt0000426	3.8	21
tt0000430	5.9	701
tt0000432	5.7	234
tt0000436	6.1	523
tt0000437	5.2	278
tt0000439	7.3	19964
tt0000440	5.4	232
tt0000442	4.6	91
tt0000446	4.8	25
tt0000447	6.4	2538
tt0000451	6.5	956
tt0000452	4.6	113
tt0000455	6.8	1874
tt0000456	4.0	63
tt0000459	4.4	77
tt0000464	4.7	449
tt0000465	7.3	1662
tt0000469	5.8	1089
tt0000471	5.2	506
tt0000472	6.3	23
tt0000479	5.3	393
tt0000480	5.1	208
tt0000487	6.9	528
tt0000488	6.9	820
tt0000491	3.6	68
tt0000492	4.8	129
tt0000495	6.0	114
tt0000496	5.9	65
tt0000497	5.2	85
tt0000498	6.6	1245
tt0000499	7.5	3741
tt0000501	4.6	51
tt0000502	4.1	15
tt0000505	6.5	29
tt0000507	3.4	59
tt0000509	5.9	47
tt0000511	6.4	45
tt0000512	4.5	71
tt0000515	4.8	97
tt0000516	6.6	1051
tt0000519	5.7	387
tt0000520	6.3	58
tt0000521	5.5	317
tt0000524	5.8	772
tt0000525	5.4	52
tt0000526	4.2	67
tt0000528	6.2	17
tt0000533	6.7	40
tt0000534	6.6	1202
tt0000535	4.8	60
tt0000537	4.4	93
tt0000543	4.8	17
tt0000546	6.7	1905
tt0000550	3.6	13
tt0000552	5.7	60
tt0000553	6.5	462
tt0000554	6.3	1367
tt0000555	4.8	18
tt0000557	4.5	138
tt0000561	5.0	57
tt0000565	6.3	619
tt0000567	6.8	1246
tt0000570	3.9	55
tt0000571	6.8	69
tt0000574	6.0	824
tt0000575	5.7	518
tt0000576	6.1	235
tt0000578	7.4	28
tt0000582	4.7	718
tt0000583	5.1	50
tt0000584	4.9	81
tt0000588	5.4	8
tt0000591	4.4	20
tt0000594	5.6	14
tt0000595	5.3	12
tt0000596	5.0	20
tt0000597	4.9	70
tt0000598	5.1	36
tt0000599	3.8	14
tt0000601	5.8	12
tt0000602	4.5	232
tt0000608	6.0	16
tt0000609	4.3	20
tt0000610	4.5	20
tt0000613	4.3	13
tt0000614	6.5	1119
tt0000615	4.3	24
tt0000617	4.7	36
tt0000618	8.5	15
tt0000621	6.5	592
tt0000627	5.7	62
tt0000628	5.7	866
tt0000629	5.6	85
tt0000630	2.8	26
tt0000632	5.1	53
tt0000634	3.5	26
tt0000637	5.5	733
tt0000638	4.9	85
tt0000639	5.1	95
tt0000640	4.4	141
tt0000641	4.7	169
tt0000642	5.2	67
tt0000644	5.1	63
tt0000645	5.0	176
tt0000648	4.6	163
tt0000650	7.6	21
tt0000651	4.8	66
tt0000653	4.5	216
tt0000654	5.0	111
tt0000658	6.4	265
tt0000659	4.8	80
tt0000660	5.4	63
tt0000661	7.2	19
tt0000662	4.3	65
tt0000663	5.1	62
tt0000665	5.3	64
tt0000666	5.4	32
tt0000668	6.7	53
tt0000669	4.8	158
tt0000671	5.7	15
tt0000672	5.9	45
tt0000673	5.5	14
tt0000674	4.6	50
tt0000675	4.2	20
tt0000676	3.6	17
tt0000679	5.1	67
tt0000680	5.2	49
tt0000681	5.3	41
tt0000682	6.9	2620
tt0000683	5.4	85
tt0000684	5.1	125
tt0000685	5.5	48
tt0000689	6.2	57
tt0000690	6.1	43
tt0000694	4.8	51
tt0000695	5.6	53
tt0000697	4.0	30
tt0000698	4.7	26
tt0000699	5.5	27
tt0000700	5.1	72
tt0000704	5.3	55
tt0000706	4.6	31
tt0000707	4.7	27
tt0000708	4.3	37
tt0000709	5.5	63
tt0000713	5.2	22
tt0000717	5.3	19
tt0000720	6.0	18
tt0000722	4.7	12
tt0000724	5.2	41
tt0000725	4.0	14
tt0000727	5.5	20
tt0000728	5.9	126
tt0000730	5.8	68
tt0000731	4.5	24
tt0000733	5.9	31
tt0000734	3.0	14
tt0000737	4.9	33
tt0000738	7.8	20
tt0000739	6.2	16
tt0000740	5.0	19
tt0000741	4.4	24
tt0000743	6.2	15
tt0000746	7.1	20
tt0000747	4.6	21
tt0000748	5.4	27
tt0000749	5.8	812
tt0000752	5.1	132
tt0000754	7.2	62
tt0000755	5.7	209
tt0000756	5.3	127
tt0000758	6.1	30
tt0000759	7.6	12
tt0000762	5.1	31
tt0000764	5.6	137
tt0000767	6.3	19
tt0000769	5.3	160
tt0000770	5.3	152
tt0000771	5.6	23
tt0000772	5.8	20
tt0000775	7.5	11
tt0000776	5.6	119
tt0000778	6.0	16
tt0000779	5.0	18
tt0000781	6.3	19
tt0000782	8.3	19
tt0000784	4.1	24
tt0000785	5.3	65
tt0000787	4.9	21
tt0000789	5.0	65
tt0000790	6.2	377
tt0000792	4.5	70
tt0000793	4.1	20
tt0000797	5.3	171
tt0000798	4.1	14
tt0000800	5.2	112
tt0000801	4.9	74
tt0000803	6.0	9
tt0000807	4.4	62
tt0000809	6.1	62
tt0000815	4.4	66
tt0000816	4.6	128
tt0000817	4.1	18
tt0000819	5.1	67
tt0000821	4.7	122
tt0000823	4.2	54
tt0000825	4.1	56
tt0000826	3.9	55
tt0000827	5.2	95
tt0000828	5.2	113
tt0000829	4.1	59
tt0000831	5.2	134
tt0000832	6.6	2569
tt0000833	6.4	703
tt0000835	4.9	153
tt0000836	4.8	51
tt0000837	5.1	43
tt0000840	5.6	339
tt0000841	5.3	78
tt0000843	5.2	41
tt0000844	6.6	21
tt0000845	4.5	43
tt0000847	5.6	16
tt0000848	5.6	24
tt0000851	4.9	46
tt0000852	5.6	250
tt0000853	5.2	41
tt0000854	5.9	516
tt0000855	5.2	51
tt0000857	4.6	38
tt0000858	4.6	38
tt0000860	4.5	77
tt0000861	4.9	60
tt0000862	4.4	17
tt0000864	5.6	60
tt0000866	5.7	9
tt0000870	5.2	59
tt0000871	5.7	116
tt0000873	5.8	12
tt0000874	4.7	52
tt0000875	4.3	38
tt0000877	4.7	104
tt0000878	5.1	176
tt0000880	5.8	83
tt0000882	5.7	211
tt0000884	3.5	12
tt0000886	4.7	40
tt0000887	4.9	49
tt0000890	6.9	33
tt0000891	5.6	56
tt0000892	5.4	76
tt0000893	6.3	40
tt0000895	5.5	204
tt0000896	3.2	24
tt0000897	5.3	63
tt0000898	5.2	27
tt0000900	3.6	24
tt0000901	4.5	25
tt0000902	4.5	17
tt0000903	5.4	22
tt0000904	5.3	116
tt0000905	4.8	24
tt0000908	6.0	31
tt0000910	4.8	27
tt0000911	2.6	26
tt0000912	4.2	67
tt0000916	6.0	63
tt0000919	3.2	24
tt0000920	4.2	24
tt0000921	5.0	26
tt0000922	5.5	111
tt0000924	6.1	180
tt0000928	5.3	95
tt0000929	5.3	45
tt0000930	4.6	12
tt0000932	3.2	10
tt0000933	4.8	49
tt0000934	3.8	20
tt0000935	6.1	107
tt0000936	6.4	118
tt0000938	4.6	187
tt0000939	4.9	20
tt0000941	4.4	25
tt0000942	6.1	1014
tt0000944	3.8	11
tt0000945	4.7	76
tt0000946	4.6	82
tt0000950	4.0	16
tt0000954	5.0	17
tt0000956	5.6	16
tt0000957	6.2	48
tt0000958	5.3	17
tt0000960	4.7	288
tt0000961	8.1	22
tt0000962	4.4	15
tt0000964	4.5	17
tt0000966	5.6	350
tt0000967	4.4	18
tt0000969	6.4	25
tt0000970	5.8	78
tt0000971	6.3	171
tt0000972	5.8	90
tt0000974	5.2	57
tt0000975	5.1	21
tt0000976	3.9	20
tt0000979	4.9	30
tt0000981	5.5	55
tt0000985	4.4	16
tt0000986	5.0	113
tt0000987	7.8	9
tt0000988	4.8	23
tt0000989	4.7	47
tt0000990	6.0	79
tt0000992	4.4	15
tt0000995	6.6	18
tt0000997	6.2	16
tt0000998	5.2	18
tt0001000	5.4	53
tt0001001	5.2	137
tt0001002	4.8	97
tt0001005	4.4	19
tt0001008	5.2	29
tt0001009	6.5	966
tt0001010	4.2	15
tt0001011	4.4	17
